1,acceptance,state of being okay with something or someone,,
2,actress,a female actor ,,
3,additionally,"furthermore, also",,
4,advertiser,someone who is selling something through media,,
5,affordable,"not expensive, one is able to pay easily",,
6,afterward,after an event or action,,
7,anyhow,"anyway, besides",,
8,anytime,"at a time you choose, it's not important when",,
9,artistic,"to be creative, good at art",,
10,baggage,travel bags,,
11,banker,someone who works for the bank,,
12,beginner,to be new at something,,
13,booklet,"a small book, leaflet, or brochure",,
14,born,brought to life,,
15,bye,opposite of 'hello',,
16,caller,the person that is phoning you,,
17,careless,to do something with little care or attention,,
18,carrier,a person or thing that carries something,,
19,cleaner,someone who cleans  for a living,,
20,cleanliness,"state of being not dirty, clean",,
21,collector,someone who buys and keeps old things,,
22,colorful,having many different colors,,
23,comfortably,to do something easily,,
24,completion,"the end, the finishing point",,
25,cooler,a box (filled with ice) that keeps drinks cold,,
26,costly,"to be expensive, to be of a high price",,
27,dealership,a business that can buy and sell certain things,,
28,definite,"for certain, exact",,
29,delicious,to taste good,,
30,dependable,"reliable, trustworthy",,
31,dislike,"to not like, hate",,
32,enjoyable,"not boring, fun",,
33,explanatory, to explain or make clear,,
34,finalize,to make final,,
35,fitness,the state of being healthy,,
36,flyer,"brochure, leaflet",,
37,fortunately,"happily, luckily",,
38,gardener,a person who works with plants and flowers for a living,,
39,generalization,an idea that is true most of the time but not all of the time,,
40,heater,something that warms a room,,
41,homeless,to be without a place to live ,,
42,honestly,"really, truly",,
43,hourly,happens every 60 minutes,,
44,hungry,"in need of food, needing to eat",,
45,icy,made of ice,,
46,incomplete,not yet finished,,
47,indoor,inside a house or building,,
48,inexpensive,having a low price; cheap,,
49,inexperience,to not have much practice with something,,
50,internet,"the information highway, the worldwide web",,
51,lately,recently,,
52,locally,in a specific area,,
53,loudly,in a manner that is not quiet,,
54,machinery,"tools, equipment",,
55,managerial,to do with management or supervision,,
56,meaningful,to have a meaning or purpose,,
57,mileage,distance travelled in miles,,
58,mislead,to lead someone in the wrong direction or give someone wrong directions,,
59,mister,a form of address for a man  ,,
60,nationwide,all across the country,,
61,neat,"tidy, clean",,
62,noisy,too loud,,
63,outdoor,outside in the open air,,
64,painter,an artist who paints  ,,
65,partial,to be a part of something whole,,
66,partially,In part; in some degree; not wholly,,
67,payable,an amount of money due,,
68,photographer,someone who takes pictures for a living  ,,
69,photography,the art of taking pictures,,
70,placement,the act of placing someone in a job or the location of something,,
71,planner,a person who makes plans  ,,
72,poorly,Badly; not enough; not sufficient,,
73,postage,the charge for mailing something  ,,
74,postal,of or relating to the system for delivering mail,,
75,pottery,"earthenware, stoneware, ceramics",,
76,presenter,a person who shows and explains something to an audience,,
77,probable,"possible, but not certain to be or become true or real",,
78,programmer,a person who designs and writes and tests computer programs  ,,
79,protective,to want to keep safe,,
80,quarterly,every 4 months,,
81,rainy,"water from the clouds, wet or showery",,
82,realistic,to be reasonable or be close to real life,,
83,reconsider,to think something over again,,
84,renew,to make something new again,,
85,renewal,the act of making something new again,,
86,rental,the act of paying for the use of something (as an apartment or house or car)  ,,
87,reopen,to open again,,
88,rewrite,to write again differently,,
89,rider,someone who uses an animal or a bicycle or motorcycle for transport,,
90,rose,a red flower used to show love,,
91,runner,someone who travels on foot by running  ,,
92,safely,in a way that is not dangerous ,,
93,seller,someone who promotes or exchanges goods or services for money  ,,
94,sender,someone who transmits a message,,
95,shipment,"delivery of goods, e.g. carried by a large vehicle",,
96,shopper,someone who buys things in a store,,
97,shortage,a lack of something ,,
98,shorten,to make smaller in length,,
99,simplify,make easier to understand,,
100,sleepy,"tired, ready for bed",,
101,snowy,cold weather with snow falling,,
102,sometime,at some unknown point in time,,
103,spacious,lots of room or space,,
104,specially,in particular,,
105,specialty,something you are very good at,,
106,sticker,a label with glue on the back,,
107,sunny,a day with no clouds or rain just sunshine,,
108,sunshine,the warmth and light of the sun,,
109,tablecloth,a cover for a table,,
110,taker,someone who does not give but only takes,,
111,tasty,delicious,,
112,thirsty,in need of water,,
113,timely,to happen at the right time or good time,,
114,timer,something that counts seconds and minutes,,
115,trainee,someone who is learning on the job ,,
116,trainer,one who teaches a person or animal to do something,,
117,traveler,a tourist or adventurer who visits many countries,,
118,uncomfortable,not pleased or happy with a situation or thing,,
119,unemployed,having no job,,
120,unexpected,to be a surprise,,
121,unhappy,feeling little or no joy,,
122,unload,to remove something (usually from a truck),,
123,unnecessary,not needed,,
124,unpaid,working for no money,,
125,unreal,not true to life,,
126,unsure,not certain or sure,,
127,unused,not yet put into use,,
128,unusually,not normal or usual,,
129,whoever,anyone who,,
130,willingness,being happy to do something,,
131,windy,weather that is stormy or gusty,,
132,yearly,happening every 12 months,,
133,accent,special manner of oral expression,,
134,accessible,"available, easy to reach",,
135,accordingly,"therefore, so",,
136,actively,in a way that takes effort and action,,
137,adapter,something that connects to something to make it usable,,
138,advisable,"something one should do, or is good to do",,
139,advisor,someone who gives an opinion on what to do,,
140,advisory,related to giving advice or an opinion on what to do,,
141,amuse,to entertain,,
142,announcer,someone who gives a message publicly  ,,
143,annoy,to bother or irritate,,
144,apple,"a type of fruit from trees that is green, red, or yellow",,
145,appreciation,to show thanks for something or someone,,
146,asleep,"not awake, in sleep",,
147,assurance,certainty or full confidence,,
148,attendant,someone who waits on or tends to the needs of another  ,,
149,attendee,someone present (at a meeting or event),,
150,authority,the power to give orders and make decisions,,
151,automatic,done without thinking,,
152,availability,Being present and able to be used,,
153,bake,to cook things inside the oven,,
154,baker,someone who bakes for a living ,,
155,bakery,a place where baked goods (breads and cakes and pastries) are made and sold,,
156,basket,a container made of pieces of wood,,
157,battery,something that produces electric energy,,
158,bean,a long thin green vegetable,,
159,blanket,a large piece of cloth used to cover someone or something,,
160,brake,to stop a vehicle by pressing a pedal,,
161,broaden,to widen ,,
162,bug,an insect,,
163,butter,"a kind of soft spread for bread, made from cow's milk",,
164,cage,a box-like crate usually made of steel,,
165,calculation,"to add, subtract, multiply, divide etc. ",,
166,calculator,a device that does math for you,,
167,captain,the person in charge of a ship or airplane,,
168,cart,a wagon or truck used to for transport,,
169,casual,"uncertain, unplanned",,
170,ceiling,the thing that covers the room up high,,
171,centimeter,"a form of measurement,  e.g. there are 100 cm in a meter",,
172,cheer,"to cheer on, shout encouragement",,
173,clip,"to cut short, snip",,
174,cloth,a piece of thin material,,
175,cloudy,weather where the sky is filled with clouds,,
176,clue,"a hint, a tip",,
177,commerce,"trade, business, industry ",,
178,commonly,"frequently, usually",,
179,complication,the act of making something more difficult,,
180,conditioner,shampoo-like substance used after washing hair,,
181,container,something that holds things,,
182,contractor,a builder,,
183,copier,a machine that makes paper copies,,
184,correction,the act of making something right,,
185,correctly,to do something the right way,,
186,creativity,the state of having talent and imagination,,
187,deck,like a patio or terrace,,
188,decorate,"make more attractive by adding ornament, colour, etc.",,
189,decoration,the act of decorating something (in the hope of making it more attractive)  ,,
190,departmental,to do with a specific area or unit in an organization,,
191,desirable,worth having or wanting,,
192,desperate,to be in urgent need of something,,
193,developer,someone who designs and builds properties,,
194,dine,have supper; eat dinner,,
195,diner,"a small, informal restaurant",,
196,directory,an alphabetical list of names and addresses  ,,
197,disappointment,what is felt when someone does not fulfill your expectations,,
198,disgust,strong feelings of dislike  ,,
199,dive,jump in or swim under water,,
200,drawer,a sliding compartment you keep things in,,
201,drum,a musical instrument you hit with wooden sticks,,
202,economical,of good value,,
203,economically,related to use of income and money,,
204,economist,an expert in the science of economics  ,,
205,economize,"to save money, avoid waste",,
206,editorial,a newspaper article written by the editor,,
207,electrical,to do with electricity,,
208,electrician,a person who installs or repairs electrical or telephone lines  ,,
209,elephant,a large animal with a long trunk and big ears found in Africa and Asia,,
210,energetic,"to be lively, full of energy",,
211,engagement,the act of participating in something,,
212,environmentally,related to natural surroundings,,
213,equip,provide with abilities or tools,,
214,excellence,"the state of being very, very good",,
215,familiarity,"the state of being used to, or comfortable with something",,
216,familiarize,to get to know better,,
217,faulty,"broken, not perfect",,
218,favorable,to be seen as good or positive,,
219,frustrate,to upset someone,,
220,fry,to cook in a pan,,
221,garage,a place where you keep your car,,
222,grocery,a place that sells food items,,
223,guidance,the act of showing the way ,,
224,handy,useful,,
225,harmful,"damaging, hurtful",,
226,hesitation,the act of pausing uncertainly,,
227,hobby,something you do in your spare time for fun,,
228,identification,"a document that shows who a person is,  e.g. passport, driver's licence",,
229,indicator,a signal or a warning,,
230,individually,apart from others,,
231,influential,powerful,,
232,inspect,look over carefully,,
233,inspection,a formal or official examination of something,,
234,inspector,a high ranking police officer  ,,
235,instruct,to teach,,
236,instructor,someon who teaches for a living,,
237,intently,concentrate closely,,
238,interrupt,to stop something or someone in the middle of something,,
239,introductory,"something that comes before the main event, e.g. introductory speech",,
240,invaluable,to be of great worth,,
241,irregular,occuring at unexpected times,,
242,jam,push down hard,,
243,jeans,pants made from denim,,
244,juice,the natural liquid from a plant or fruit,,
245,junior,"younger, lower in rank",,
246,kilometer,a metric unit of length equal to 1000 meters,,
247,knowledgeable,to know much about a topic,,
248,lab,where you do experiments,,
249,lamp,an artificial source of light ,,
250,lane,a narrow road,,
251,lawn,the grassy area in your garden,,
252,lengthy,long in time or size,,
253,librarian,a person who works with books in a library,,
254,lighter,not as heavy as,,
255,lightweight,someone or something that is not heavy ,,
256,mask,something that covers your face,,
257,memorize,to learn and remember things,,
258,microwave,kitchen appliance that cooks food quickly,,
259,mower,machine used to cut grass,,
260,nail,"a long, thin piece of metal used to hold pieces of wood together banged in with a hammer",,
261,occurrence,something that happens,,
262,officially,done by the government or office in charge,,
263,operational,in working order,,
264,optional,"a choice, something you do not have to do",,
265,organizational,to do with planning and managing ,,
266,organizer,someone who plans things for a living,,
267,oven,kitchen appliance used for baking or roasting  ,,
268,pan,"a flat, round cooking container used for frying",,
269,performer,an entertainer  like an actor or a singer,,
270,periodical,a magazine made and available on a regular basis,,
271,periodically,"every so often, at regular times",,
272,pet,an animal you keep in the house to play with,,
273,pie,"round, covered pastrywith a filling like cherry or apple ",,
274,plug,to fill in a hole,,
275,polish,to make something shine with a cloth,,
276,polite,being kind to others,,
277,pollute,to make the environment dirty,,
278,popularity,the state of being liked by many people,,
279,productive,"useful or worthwhile, e.g. a productive meeting",,
280,productivity,the amount of work done,,
281,professionally,to do with your work or job,,
282,projection,"a guess about future events, e.g. sales or income",,
283,provider,"someone who takes care of others with money, food, home",,
284,purchaser,someone who buys things; buyer,,
285,quit,to stop doing something,,
286,ray,a beam of light from the sun,,
287,rearrange,to put into a new order ,,
288,reassure,to make someone feel certain of something,,
289,recipe,directions for baking or cooking something  ,,
290,redecorate,to redo the inside of a house with new colors and furniture,,
291,referral,the recommendation of someone or something,,
292,refrigerator,an electric box that cools food,,
