3001,ashore, 『岸へ(に)』,əʃɔ’:r
3002,theirs, 『彼らのもの』、彼女らのもの、それらのもの / 《of theirs の形で》『彼らの』,ðéərz
3003,international, 『国際的な』、国家間の、万国の / 国際関係の / 国際競技、国際試合 / 国際試合出場者,ìntərnæ’ʃənl
3004,leather, 〈U〉(動物の)『なめし』『皮』 / (また『leather product』)〈C〉皮製品 / …‘を’むちで打つ,léðər
3005,interfere, (…に)『干渉する』、口出しをする(meddle)《+『in』(with』)+『名』)『wh-節』(『句』、do『ing』)》 / (仕事・状況などの)『妨げとなる』、邪魔になる《+『with』+『名』(do『ing』)》,ìntərfíər
3006,subtle, (知覚しにくいほど)『かすかな』、ほのかな、微妙な / (頭脳・感覚などが)鋭い / ずるい、こうかつな / 難解な / 巧みな、精巧な,sʌ’tl
3007,slope, 『傾斜する』、坂になる / …‘を’傾斜させる、‘に’勾配をつける / 〈C〉『坂』、斜面、スロープ / 〈C〉〈U〉『勾配(こうばい)』、傾斜,slóup
3008,floating, 浮かんでいる、浮いている / (生体の組織などが)遊離状態の / 流動的な,flóutiŋ
3009,worry, 『心配する』、くよくよする / 〈小犬などが〉(…を)くわえて引っ張る(引きちぎる)《+at+名》 / 《しばしば受動態で》…‘を’『心配させる』、不安にする / …‘を’『困らせる』、悩ませる / 〈小犬などが〉…‘を’くわえる(振り回す、引きちぎる) / 〈U〉(…の)『心配』、悩み《+of+名》 / 〈C〉心配(悩み)の種,wə’:ri
3010,violently, 激しく、猛烈に / 乱暴に、手荒に,váiəl(ə)ntli
