6001,chaste, (特に女性が)純潔な、貞節な / (趣味・文体などが)落ち着いた、渋い;簡素な,ʧéist
6002,whirl, 『ぐるぐる回る』、旋回する、渦巻く / 《方向を表す副詞[句]を伴って》く人・動物などが〉『急に向きを変える』 / 《方向・状態を表す副詞[句]を伴って》〈人・車などが〉『疾走する』 / 〈頭などが〉くらくらする、めまいがする / …‘を’『ぐるぐる回す』、旋回させる、渦巻かせる / 《方向・状態を表す副詞[句]を伴って》…‘を’さっと運ぶ / 回転、旋回;渦《+of+名》 / 〈U〉《しばしば a whirl》(心などの)乱れ、混乱 / 〈C〉《単数形で》(事件・会合などの)めまぐるしい連続《+of+名》,(h)wə:rl
6003,adventurous, 冒険好きな、大胆な / 冒険的な、危険な,ædvénʧərəs
6004,skipper, (特に小商船・漁船の)船長 / (チームの)主将 / …‘の’船長(主将)を務める;…‘を’導く  跳ぶ人;はねる人(もの) / セセリチョウ,skípər
6005,tiresome, 『飽き飽きかせる』、うんざりさせる(tedious) / やっかいな、うるさい,táiərsəm
6006,recompense, (巧路などに対して)〈人〉‘に’『報いる』《+『名』+『for』+『名』》 / (損害などに対して)〈人〉‘に’償う』《+『名』+『for』+『名』》 / (巧路などに対する)『報い』、報酬《+『for』+『名』》 / (損害などに対する)『償い』、弁償《+『for』+『名』》,rékəmpèns
6007,plank, 『厚板』 / 政党綱領項目(箇条) / (船から桟橋にかける)歩み板、タラップ / 〈床など〉‘を’厚板で張る / 《米》〈肉・魚など〉‘を’板にのせてあぶり焼きにして食卓に出す,plæ’ŋk
6008,insure, …‘を’『保証する』、請け合う / 〈人・財産など〉‘に’『保険をかける』、‘を’損害保証する,inʃúər
6009,exaggeration, 〈U〉誇張、過大視 / 〈C〉誇張した表現、大げさな言い方,igzæ`ʤəréiʃən
6010,mi,ミ(全音階の第3音),émàifáiv
6011,ballad, 民謡、バラッド(素朴な用語と短い節で書かれた民間伝承の物語詩),bæ’ləd
6012,befall, 〈悪事・災難などが〉…‘の’に降りかかる、〈運などが〉…’を’訪れる / 〈災難・不運などを〉降りかかる、訪れる,bifɔ’:l
6013,cylinder, 円柱、円筒;円柱形の物 / シリンダー、気筒,sílindər
6014,summary, (…の)『要約』、摘要 概要《+of+名》 / 『用約した』、かいつまんだ;手短の / (裁判などか)略式の、即決の,sʌ’məri
6015,daresay, 《『daresay+that節』》…であるとあえて言う / 疑いのない、たぶんそうだ(dare say),dérsei
6016,dissolution, (部分・要素への)『分解』[作用] / (契約・連合の)解除、解消 / (議会・組織の)解散;崩壊,dìsəlú:ʃən
6017,vehemence, 熱意、熱情 / 《おもに文》激烈さ、激しさ,ví:əməns
6018,chaplain, (宮廷・学校・刑務所などの)礼拝堂つき牧師《+『to』+『名』》;従軍牧師、教戒師,ʧæ’plin
6019,wail, (苦しみ・悲しみなどで)泣き叫ぶ《+with(for)+名》 / 〈風などが〉悲しげな音を立てる / 《軽べつして》(…を)ぐちる、こぼす《+over(about)+名》 / …‘を’嘆く;〈…である〉‘と’嘆き悲しむ《+that 節》 / 嘆き悲しむこと;泣き叫ぶ声,wéil
6020,kneel, (…に)『ひざまずく』、ひざをつく《+『down on』+『名』》,ní:l
6021,unlikely, 《補語にのみ用いて》『ありそうもない』、考えられない / うまくいきそうもない、見込み(将来性)のない,ʌnláikli
6022,deceit, 『欺くこと』、『偽り』、たくらみ、策略、ぺてん,disí:t
6023,geography, 〈U〉『地理』、『地理学』 / 〈C〉『地勢』、地形 / 〈C〉地理学書,ʤiɑ’grəfi
6024,herald, (昔の国王や領主の)使者 / 先触れ、先駆者 / 『使者』、伝達者、報道者 / …‘を’先触れする;…‘を’布告する、告知する,hérəld
6025,lowly, (身分が)低い、卑しい;みすぼらしい / 腰が低い、謙そんした / 卑しく;みすぼらしく;謙そんして,lóuli
6026,peep, (すき間などから)『のぞき見する』《+『through』+『名』》;(…を)こっそりのぞく《+『at』(『into』)+『名』》 / 〈草花・太陽などが〉出始める、顔を出す / 《しばしばa~》『のぞき見』、かいま見ること / 《the~》(太陽などの)出配め、出現《+『of』+『名』》  (ひな鳥・ネズミなどの鳴き声の)ピーピー、チューチュー / 《単数形で》《話》不平、泣き言 / ピーピー(チューチュー)鳴く,pí:p
6027,swarm, (大きな一団となって飛んで(動いて)いる昆虫などの)『群れ』《+of+名》 / (人・動物・物の)『群れ』、多数《+of+名》 / 〈ミツバチが〉巣分かれする、分封する / 『群れをなして動く』 / 〈場所が〉(で…)一杯になる、あふれる《+with+名》  …に抱きついて登る《+up+名、+名+up》,swɔ’:rm
6028,joyfully, 楽しく、愉快に,ʤɔ’if(ə)li
6029,purposely, 故意に、わざと / 特に、わざわざ,pə’:rpəsli
6030,blindness, 盲目 / 無知、盲信,bláindnis
6031,virtually, 事実上、実質的には,və’:rʧuəli
6032,conformity, (外形・性質・態度などの)〔…との〕相似、符合; 適合、一致 〔to、with〕. 〔法・慣習などに〕 従うこと、服従、準拠、遵奉、協調 〔with、to〕. [しばしば C] 《英》 国教信奉.,kənfɔ’:rməti
6033,maxim, 格言、金言、処世訓,mæ’ksim
6034,baking, 〈U〉(パンなどを)焼くこと / 〈C〉(パンなどの)一焼き分《形容詞的に》『baking cup』{名}〈C〉カップケーキ用のカップ(紙またはアルミ製)『baking pan』{名}〈〉天火料理用の金属皿 / 焼けつくように,béikiŋ
6035,invincible, 打ち勝ちがたい;(精神などが)不屈の,invínsəbl
6036,impertinent, 無礼な、生意気な;(…に対して)無礼な《+『to』+『名』》 / 不適当な、見当違いの;(…には)適当でない《+『to』+『名』》,impə’:rt(ə)nənt
6037,bust, 〈C〉半身像、胸像 / 〈U〉《遠回しに》(婦人の)胸部  'を’破裂させる、打ち壊す / …’を’なぐる、打つ / …’を’破産させる / 破裂する、壊れる / 破産する / 失敗、破産 / ぶんなぐり  …’を’警察に連行する、逮捕する / …’を’家宅捜索する / 〈軍人〉‘の’階級を下げる,bʌ’st
6038,visage, 顔(face)、顔つき(countenance),víziʤ
6039,intuition, 〈U〉直観[力]、直覚[力] / 〈C〉直観的洞察(知識),ìnt(j)u:íʃən
6040,mingle, (…と)…‘を’『混ぜる』、混ぜ合わせる《+『名』+『with』+『名』》 / (…と)『混じる』、一つになる《+『with』+『名』》,míŋgl
6041,bathing, 入浴;水泳,béiðiŋ
6042,arched, アーチ形の、弓形の / アーチのある,ɑ’:rʧt
6043,investment, 〈U〉〈C〉(…を…へ)投資すること、出資《+『of』+『名』+『in』+『名』》 / 〈C〉(…への)投下資本、投資金《+『in』+『名』》 / 〈C〉投資の対象,invéstmənt
6044,tabernacle, 《しばしばT-》礼拝堂 / 《the T-》幕屋(古代ユダヤ人がエジプト脱出の後に用いた天幕式の仮神殿) / (聖体を入れる)聖櫃,tæ’bərnæ`kl
6045,client, [『弁護』]『依頼人』、訴訟依頼人 / (商売上の)おとくい(customer),kláiənt
6046,ghostly, 幽霊の、幽霊のような、幽霊の出そうな / 《名詞の前にのみ用いて》《文》霊的な、宗教的な,góustli
6047,dock,『波止場』、埠頭(ふとう) / (入港中の船を入れておく)船だまり / (造船、修理用の)『ドック』、船渠(せんきょ) / 〈船〉‘を’ドックに入れる / 〈2個以上の宇宙船〉‘を’大気圏外で連結させる / 〈船が〉ドックにはいる / 〈宇宙船が〉大気圏外で連結する、ドッキングする  …‘の’端を切り取る / 〈給料など〉‘の’一部を差し引く;(…から)〈ある金額〉‘を’減らす《+『名』+『off』(『from』)+『名』》  (刑事法廷の)被告席  スカンポ、ギシギシ(タデ科の植物),dɑ’k
6048,tenor, (…の)趣旨、要旨、大意《+of+名》 / (人生などの)行路、進路《+of+名》  〈U〉(音楽で)テノール、テナー(成年男子の出せる最高音域) / 〈C〉テノール歌手 / 〈C〉テナーの楽器 / テノールの、テナーの,ténər
6049,arouse, (眠りなどから)〈人〉’を’起こす、‘の’目を覚ます《+『名』+『from』+『名』》 / 〈物事が〉〈ある行為・感情など〉’を’『呼び起こす』;…’を’刺激する(excite) / 〈物事が〉〈人〉’を’刺激して(…)させる、(…に)かり立てる《+『名』+『to』+『名』(do『ing』)》,əráuz
6050,verbal, 語の、言葉の;(意味とは関係なく)言葉の上だけの、語句だけの / 口頭の、口上の(oral) / 逐語的な、文字通りの / 動詞の、動詞的な / 準動詞(不定詞・分詞・動名詞の総称) / 《英話》自白 / 《英話》《おどけて》口げんか,və’:rbəl
6051,excessively, 過度に、極端に;非常に,iksésivli
6052,strenuous, (仕事などが)非常な努力を要する、奮闘努力する / (人物が)精力的な、活発な(active);(行動が)熱心な、激しい,strénjuəs
